DATA;PDV; FANTASIA ;MODALIDADE;POPULAR;CDC;APROVADAS;NEGADAS;RESTRICOES;PENDENTE;CANCELADAS;PRÉ CADASTRO;TOTAL
03/06/2025;93489; CELULARES ;CDC;0;R$ 0,00;0;0;1;0;0;0;1
04/06/2025;93513; SUPERMERCADO BAHIA - CENTRO ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
06/01/2025;88294; SHOW DE NOVIDADES ;CDC;0;R$ 5.563,71;3;22;9;0;0;0;34
13/01/2025;88499; SAO JOSE- FILIAL 2 ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
15/01/2025;88589; RICARDO APPLE ;CDC;0;R$ 4.174,77;2;3;4;0;0;3;12
20/01/2025;88670; KAIROS PECAS E MOTORES ;CDC;0;R$ 10.518,09;1;0;1;0;0;1;3
20/01/2025;88676; CELUTEC STORE ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
29/01/2025;88896; CONTINENTAL ACESSORIOS ELETRONICOS VARIEDADES ;CDC;0;R$ 0,00;0;1;1;0;0;0;2
26/02/2025;89623; MPCELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
01/04/2025;90446; BOB CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
02/04/2025;90504; DA HORA MOVEIS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
05/05/2025;92625; DANIEL RAMOS CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
05/05/2025;92634; ARIAUTO PECAS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
06/05/2025;92665; CENTRAL INFORMATICA - CENTRO ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
07/05/2025;92698; RONECELL ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
15/05/2025;92937; FC SMART ;CDC;0;R$ 2.234,43;1;4;6;0;0;3;14
19/05/2025;92988; SOS CELULARES - COROMANDEL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
23/05/2025;93127; CONEXAO CELULARES & ACESSORIOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
04/01/2024;75696; MEGACEL CELULARES E ACESSORIOS ;CDC;0;R$ 4.467,37;2;0;1;0;0;2;5
04/01/2024;75697; OFICINA DO CELULAR - PR ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
05/01/2024;75715; MAXCELL - PR ;CDC;0;R$ 11.991,97;3;6;9;0;0;0;18
08/01/2024;75754; LUA DOIS SEX SHOP ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
18/01/2024;75943; MANOEL MAGAZINE ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
19/01/2024;76013; THIAGO ACESSORIOS ELETRONICOS E CELULAR ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
25/01/2024;76170; MULTI DROGAS ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
26/01/2024;76201; HAJA IMPORTS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
26/01/2024;76153; RAFA OTT MATERIAIS DE CONSTRUCAO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
30/01/2024;76283; LUX ELETRONICOS ;CDC;0;R$ 2.979,25;2;3;2;0;1;0;8
01/02/2024;76334; MSC SOFT ;CDC;0;R$ 2.863,02;2;1;1;0;0;0;4
01/02/2024;76346; NOVA CELL - SP ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
01/02/2024;76361; TELENEW CELULARES E ACESSORIOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
02/02/2024;76375; SUBTIL FERRAMENTAS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
02/02/2024;76380; MASTER CELL JA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
02/02/2024;76383; PCELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
05/02/2024;76424; SUPER MARTINS ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
06/02/2024;76367; SHOPCELL - SP ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
06/02/2024;76452; BICICLETARIA CAETE ;CDC;0;R$ 4.397,43;1;1;4;0;0;0;6
06/02/2024;76454; MULTICOMERCIAL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
07/02/2024;76492; SUPER VAREJAO E MERCEARIA SABORES ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
08/02/2024;76553; MARANHAO MOTOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
08/02/2024;76526; COMERCIAL COMPRE BEM ;POPULAR;0;R$ 0,00;0;0;1;0;0;0;1
08/02/2024;76523; SUPER MIX SUPERMERCADO ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
14/02/2024;76686; CELESTE VARIEDADES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
15/02/2024;76703; LUXURIA MOTO PEÇAS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
16/02/2024;76733; JUNIOR ELETROS ;CDC;0;R$ 0,00;0;3;2;0;0;0;5
16/02/2024;76738; PEDONE MOVEIS E ELETROS DOMESTICO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
22/02/2024;76899; CASA SAO PEDRO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
23/02/2024;76909; MOVEIS CURIUVA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
23/02/2024;76929; VILLAS BOAS ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
26/02/2024;76954; TK INFORMATICA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
27/02/2024;76980; SOS CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
27/02/2024;77004; RAIFF ACESSORIOS ;CDC;0;R$ 7.183,88;3;12;21;0;0;11;47
27/02/2024;77003; SERRALHERIA NOVA GERACAO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
28/02/2024;77029; DJ MOTOS - SAPOPEMA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
29/02/2024;77073; TAQUARI BIKE SHOP ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
29/02/2024;77074; CELULAR PONTO COM ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
01/03/2024;77097; CASA FORTE - SAO JERONIMO DA SERRA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
01/03/2024;77113; SUPERMERCADO SAO PEDRO - SAPOPEMA ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
04/03/2024;76881; SILVERIO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
04/03/2024;77118; CASA FORTE - NOVA SANTA BARBARA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
05/03/2024;77157; ASTRAL ELETROMOVEIS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
05/03/2024;77158; ASTRAL ELETROMOVEIS - SAPOPEMA ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
06/03/2024;77204; MOVEIS DOCE LAR ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
07/03/2024;77241; SUPERMERCADO CENTRAL - SAPOMEMA ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
